station_id,collection_time,ph,do,nh3n,turbidity,temperature,cod,total_phosphorus
ST001,2026-04-18 04:00:00,7.11,7.07,0.08,7.16,16.99,19.65,0.21
ST002,2026-04-18 04:00:00,7.4,5.73,0.24,7.86,17.5,23.13,0.17
ST003,2026-04-18 04:00:00,7.62,4.65,0.45,7.61,18.07,19.73,0.23
ST001,2026-04-18 08:00:00,6.88,6.81,0.06,7.56,20.98,20.88,0.17
ST002,2026-04-18 08:00:00,7.45,5.9,0.2,7.89,20.71,20.64,0.21
ST003,2026-04-18 08:00:00,7.64,4.1,0.52,7.61,22.36,18.06,0.19
ST001,2026-04-18 12:00:00,7.35,7.05,0.13,7.52,23.0,18.12,0.22
ST002,2026-04-18 12:00:00,7.69,5.66,0.23,7.94,22.48,19.9,0.25
ST003,2026-04-18 12:00:00,7.88,4.18,0.42,8.29,22.78,19.03,0.23
ST001,2026-04-18 16:00:00,7.54,7.13,0.05,8.48,20.68,21.19,0.17
ST002,2026-04-18 16:00:00,7.79,6.01,,7.76,20.36,19.39,0.22
ST003,2026-04-18 16:00:00,8.01,4.87,0.53,6.62,23.44,20.16,0.19
ST001,2026-04-18 20:00:00,7.17,7.46,0.16,7.66,20.31,17.82,0.2
ST002,2026-04-18 20:00:00,7.47,6.57,0.29,7.44,15.37,20.3,0.21
ST003,2026-04-18 20:00:00,7.94,5.25,0.41,8.24,19.93,17.33,0.21
ST001,2026-04-19 00:00:00,7.05,7.23,0.13,7.4,16.19,20.05,0.18
ST002,2026-04-19 00:00:00,7.29,6.39,0.2,8.23,17.56,17.41,0.19
ST003,2026-04-19 00:00:00,7.82,4.55,0.43,8.08,17.94,19.62,0.19
ST001,2026-04-19 04:00:00,7.14,7.1,0.16,7.81,17.53,18.75,0.22
ST002,2026-04-19 04:00:00,7.34,6.03,0.28,6.66,19.76,18.5,0.2
ST003,2026-04-19 04:00:00,7.63,4.65,0.57,8.19,18.28,20.8,0.22
ST001,2026-04-19 08:00:00,7.07,6.86,0.13,8.11,22.3,20.63,0.22
ST002,2026-04-19 08:00:00,7.34,5.39,0.21,8.07,22.43,20.69,0.24
ST003,2026-04-19 08:00:00,7.7,4.13,0.41,7.47,22.33,21.27,0.2
ST001,2026-04-19 12:00:00,7.29,6.45,0.11,8.4,23.69,20.75,0.21
ST002,2026-04-19 12:00:00,7.6,5.62,0.28,8.06,23.59,19.21,0.16
ST003,2026-04-19 12:00:00,8.01,4.15,0.42,8.25,22.53,21.59,0.22
ST001,2026-04-19 16:00:00,7.47,6.98,0.17,7.94,21.06,20.22,0.17
ST002,2026-04-19 16:00:00,7.74,6.04,0.2,27.05,22.84,19.06,0.23
ST003,2026-04-19 16:00:00,7.95,4.41,0.41,8.65,21.31,19.18,0.21
ST001,2026-04-19 20:00:00,7.35,7.72,0.18,7.49,16.91,19.38,0.21
ST002,2026-04-19 20:00:00,7.5,6.31,0.26,7.71,18.54,18.86,0.2
ST003,2026-04-19 20:00:00,7.81,5.18,0.49,6.41,17.38,17.76,0.19
ST001,2026-04-20 00:00:00,7.09,6.96,0.08,7.02,17.25,20.1,0.19
ST002,2026-04-20 00:00:00,7.42,6.14,0.24,8.96,18.61,18.05,0.22
ST003,2026-04-20 00:00:00,7.78,4.52,0.48,8.87,15.65,18.62,0.22
ST001,2026-04-20 04:00:00,7.03,6.86,0.13,8.03,16.91,21.57,0.23
ST002,2026-04-20 04:00:00,7.28,5.74,0.19,8.12,19.19,19.91,0.23
ST003,2026-04-20 04:00:00,7.57,4.36,0.41,7.73,18.29,20.34,0.2
ST001,2026-04-20 08:00:00,7.09,6.67,0.1,6.59,23.6,22.07,0.18
ST002,2026-04-20 08:00:00,7.47,5.4,0.26,7.96,21.22,18.82,0.19
ST003,2026-04-20 08:00:00,7.61,3.83,0.45,7.23,22.32,22.23,0.19
ST001,2026-04-20 12:00:00,7.32,6.85,0.14,7.81,23.89,20.72,0.18
ST002,2026-04-20 12:00:00,7.69,5.93,0.22,7.78,23.82,19.69,0.23
ST003,2026-04-20 12:00:00,8.14,4.09,0.4,7.97,23.87,19.65,0.23
ST001,2026-04-20 16:00:00,7.27,7.39,0.1,9.0,23.89,18.85,0.19
ST002,2026-04-20 16:00:00,7.79,6.17,0.25,7.77,19.2,19.98,0.19
ST003,2026-04-20 16:00:00,7.95,5.04,0.4,8.34,21.17,19.58,0.22
ST001,2026-04-20 20:00:00,7.33,7.61,0.16,7.51,17.77,18.37,0.19
ST002,2026-04-20 20:00:00,7.89,6.75,0.2,6.79,19.08,20.82,0.22
ST003,2026-04-20 20:00:00,7.87,4.97,0.46,7.81,15.84,19.66,0.19
ST001,2026-04-21 00:00:00,7.12,7.85,0.13,7.52,18.11,20.72,0.21
ST002,2026-04-21 00:00:00,7.46,6.66,0.21,8.09,15.89,20.83,0.19
ST003,2026-04-21 00:00:00,7.66,4.69,0.49,8.42,15.51,20.08,0.19
ST001,2026-04-21 04:00:00,6.87,6.71,0.11,9.51,19.02,17.93,0.19
ST002,2026-04-21 04:00:00,7.4,6.17,0.19,6.39,20.75,20.58,0.19
ST003,2026-04-21 04:00:00,7.65,3.72,0.45,7.99,19.61,18.48,0.21
ST001,2026-04-21 08:00:00,7.01,6.55,0.08,7.45,20.31,20.98,0.22
ST002,2026-04-21 08:00:00,7.38,5.51,0.19,7.53,21.44,23.93,0.18
ST003,2026-04-21 08:00:00,7.85,4.2,0.46,9.02,21.95,20.58,0.2
ST001,2026-04-21 12:00:00,7.42,6.97,0.1,6.79,22.76,18.8,0.2
ST002,2026-04-21 12:00:00,7.72,5.66,0.25,7.79,24.02,16.63,0.19
ST003,2026-04-21 12:00:00,7.92,4.49,0.43,6.39,23.74,19.05,0.18
ST001,2026-04-21 16:00:00,7.34,7.21,0.1,6.15,22.58,21.91,
ST002,2026-04-21 16:00:00,7.59,6.21,0.25,8.18,22.3,18.9,0.21
ST003,2026-04-21 16:00:00,8.05,5.04,0.48,8.32,21.6,22.12,0.21
ST001,2026-04-21 20:00:00,7.21,7.78,0.15,7.43,17.92,20.44,0.21
ST002,2026-04-21 20:00:00,7.62,6.56,0.32,8.53,18.73,21.41,0.18
ST003,2026-04-21 20:00:00,7.94,5.36,0.44,7.14,17.72,18.37,0.19
ST001,2026-04-22 00:00:00,7.06,6.97,0.12,8.4,15.91,22.28,0.21
ST002,2026-04-22 00:00:00,7.5,6.12,0.28,6.96,18.07,20.26,0.22
ST003,2026-04-22 00:00:00,7.58,4.57,0.47,7.06,17.56,17.95,0.22
ST001,2026-04-22 04:00:00,6.88,6.86,0.14,7.24,19.2,20.39,0.19
ST002,2026-04-22 04:00:00,7.2,5.36,0.26,6.62,18.61,19.6,0.22
ST003,2026-04-22 04:00:00,7.57,4.18,0.48,7.99,18.88,20.7,0.18
ST001,2026-04-22 08:00:00,7.18,6.62,0.08,7.57,21.45,19.8,0.21
ST002,2026-04-22 08:00:00,7.54,5.72,0.2,8.2,23.09,20.58,0.23
ST003,2026-04-22 08:00:00,7.9,4.2,0.46,8.51,21.67,20.04,0.2
ST001,2026-04-22 12:00:00,7.46,6.59,0.18,8.11,21.32,20.55,0.16
ST002,2026-04-22 12:00:00,7.66,5.93,0.23,7.84,25.34,19.24,0.18
ST003,2026-04-22 12:00:00,8.05,4.64,0.45,8.48,24.61,18.89,0.2
ST001,2026-04-22 16:00:00,7.52,7.59,0.14,7.11,23.88,19.2,0.2
ST002,2026-04-22 16:00:00,7.73,6.56,0.28,8.05,22.06,20.07,0.22
ST003,2026-04-22 16:00:00,7.75,4.69,0.46,6.92,21.96,19.69,0.24
ST001,2026-04-22 20:00:00,7.46,7.41,0.11,7.7,17.96,20.29,0.19
ST002,2026-04-22 20:00:00,7.49,6.62,0.27,7.17,19.57,19.05,0.21
ST003,2026-04-22 20:00:00,7.98,4.99,0.47,7.38,18.26,19.69,0.19
ST001,2026-04-23 00:00:00,7.08,6.94,0.1,7.54,16.69,19.64,0.2
ST002,2026-04-23 00:00:00,7.45,6.42,0.22,6.88,15.75,19.27,0.2
ST003,2026-04-23 00:00:00,7.62,4.49,0.43,7.88,17.71,19.16,0.2
ST001,2026-04-23 04:00:00,6.91,6.74,0.09,8.17,16.36,19.46,0.21
ST002,2026-04-23 04:00:00,7.32,6.29,0.26,7.02,18.39,17.34,0.2
ST003,2026-04-23 04:00:00,7.52,4.43,0.43,7.67,17.74,22.61,0.2
ST001,2026-04-23 08:00:00,7.28,6.66,0.14,8.02,21.97,17.11,0.2
ST002,2026-04-23 08:00:00,7.48,5.49,0.19,7.71,23.54,21.87,0.2
ST003,2026-04-23 08:00:00,7.8,3.93,0.38,7.08,23.38,19.59,0.2
ST001,2026-04-23 12:00:00,7.27,7.13,0.18,9.36,22.81,20.44,0.18
ST002,2026-04-23 12:00:00,7.75,5.52,0.26,6.95,22.29,18.74,0.19
ST003,2026-04-23 12:00:00,7.85,4.14,0.48,6.95,23.26,21.83,0.19
ST001,2026-04-23 16:00:00,7.33,7.2,0.17,7.89,20.86,20.73,0.18
ST002,2026-04-23 16:00:00,7.77,6.33,0.24,7.14,20.44,20.8,0.23
ST003,2026-04-23 16:00:00,7.94,4.84,0.37,7.33,21.46,18.64,0.19
ST001,2026-04-23 20:00:00,7.23,7.56,0.11,6.13,15.96,19.09,0.21
ST002,2026-04-23 20:00:00,7.33,6.4,0.23,8.76,18.04,20.57,0.21
ST003,2026-04-23 20:00:00,7.69,5.15,0.46,8.12,23.21,16.87,0.24
ST001,2026-04-24 00:00:00,7.07,7.31,0.12,7.44,16.32,20.49,0.18
ST002,2026-04-24 00:00:00,7.48,6.17,0.21,7.42,18.51,19.2,0.21
ST003,2026-04-24 00:00:00,7.63,4.9,0.48,9.09,16.79,21.0,0.21
ST001,2026-04-24 04:00:00,7.13,6.61,0.15,7.61,18.42,20.14,0.21
ST002,2026-04-24 04:00:00,7.29,5.79,0.31,8.46,19.54,19.32,0.19
ST003,2026-04-24 04:00:00,7.7,4.43,0.51,7.31,18.22,17.54,0.2
ST001,2026-04-24 08:00:00,7.2,6.41,0.15,7.61,21.89,18.28,0.21
ST002,2026-04-24 08:00:00,7.1,5.46,0.19,8.62,22.43,20.7,0.23
ST003,2026-04-24 08:00:00,7.61,4.35,0.49,7.58,22.86,18.34,0.19
ST001,2026-04-24 12:00:00,7.24,6.64,0.08,8.64,22.69,20.53,0.19
ST002,2026-04-24 12:00:00,7.42,5.8,0.17,7.7,21.36,22.98,0.22
ST003,2026-04-24 12:00:00,7.91,4.5,0.42,8.14,23.24,20.4,0.23
ST001,2026-04-24 16:00:00,7.47,7.31,0.05,7.05,21.35,20.14,0.18
ST002,2026-04-24 16:00:00,7.94,6.55,0.27,7.8,21.25,18.57,0.21
ST003,2026-04-24 16:00:00,8.03,4.5,0.46,7.64,19.21,18.71,0.2
ST001,2026-04-24 20:00:00,7.49,7.61,0.07,8.1,16.64,21.62,0.2
ST002,2026-04-24 20:00:00,7.59,6.77,0.2,6.74,17.8,21.56,0.18
ST003,2026-04-24 20:00:00,7.62,4.91,0.47,8.62,17.94,19.38,0.23
ST001,2026-04-25 00:00:00,6.91,7.17,0.13,8.08,16.39,20.05,0.16
ST002,2026-04-25 00:00:00,7.33,6.34,0.21,7.79,17.54,19.49,0.21
ST003,2026-04-25 00:00:00,7.6,4.71,0.47,7.86,16.3,20.34,0.22
ST001,2026-04-25 04:00:00,6.8,6.98,0.11,8.06,19.94,17.94,0.65
ST002,2026-04-25 04:00:00,7.27,5.59,0.32,7.13,17.83,20.31,0.18
ST003,2026-04-25 04:00:00,7.56,4.31,0.44,7.68,17.86,17.73,0.21
ST001,2026-04-25 08:00:00,7.28,6.5,0.13,8.25,19.98,22.55,0.21
ST002,2026-04-25 08:00:00,7.56,5.35,0.32,8.31,22.16,20.35,0.2
ST003,2026-04-25 08:00:00,7.82,4.03,0.37,6.94,21.28,20.46,0.2
ST001,2026-04-25 12:00:00,7.42,6.36,0.13,6.43,23.91,19.86,0.21
ST002,2026-04-25 12:00:00,7.51,6.01,0.29,8.17,22.84,20.87,0.19
ST003,2026-04-25 12:00:00,7.99,4.58,0.49,7.22,23.43,18.06,0.22
ST001,2026-04-25 16:00:00,7.45,6.88,0.07,7.54,21.14,18.19,0.21
ST002,2026-04-25 16:00:00,7.73,6.21,0.22,8.51,23.49,19.27,0.19
ST003,2026-04-25 16:00:00,8.05,4.68,0.44,8.29,19.21,21.98,
ST001,2026-04-25 20:00:00,7.26,7.48,0.12,6.49,20.29,20.06,0.21
ST002,2026-04-25 20:00:00,7.7,6.3,0.27,7.56,19.52,16.81,0.2
ST003,2026-04-25 20:00:00,7.84,5.09,0.47,7.24,17.65,19.83,0.19
ST001,2026-04-26 00:00:00,7.18,7.18,0.01,7.48,15.75,17.55,0.18
ST002,2026-04-26 00:00:00,7.41,6.52,0.26,7.31,17.55,19.31,0.19
ST003,2026-04-26 00:00:00,7.58,4.4,0.43,7.86,16.88,19.38,0.19
ST001,2026-04-26 04:00:00,7.06,6.49,0.15,7.02,17.6,17.8,0.2
ST002,2026-04-26 04:00:00,7.4,5.85,0.29,8.13,17.18,19.5,0.19
ST003,2026-04-26 04:00:00,7.73,4.01,0.49,8.4,20.7,19.39,0.22
ST001,2026-04-26 08:00:00,7.33,6.38,0.06,6.39,22.36,17.18,0.2
ST002,2026-04-26 08:00:00,7.44,5.54,0.27,7.91,23.03,18.57,0.19
ST003,2026-04-26 08:00:00,7.62,4.17,0.49,8.08,22.92,18.23,0.24
ST001,2026-04-26 12:00:00,7.45,6.9,0.19,6.55,22.37,18.9,0.22
ST002,2026-04-26 12:00:00,7.49,5.9,0.3,8.25,23.34,18.52,0.19
ST003,2026-04-26 12:00:00,8.02,4.41,0.45,7.45,20.57,18.39,0.24
ST001,2026-04-26 16:00:00,7.27,7.29,0.16,6.84,21.72,21.41,0.21
ST002,2026-04-26 16:00:00,7.99,5.92,0.29,7.62,22.43,20.66,0.19
ST003,2026-04-26 16:00:00,8.02,4.38,0.47,7.97,22.27,21.59,0.21
ST001,2026-04-26 20:00:00,7.31,7.32,0.09,8.61,20.22,19.64,0.21
ST002,2026-04-26 20:00:00,7.51,6.73,0.28,9.16,17.45,19.43,0.21
ST003,2026-04-26 20:00:00,7.96,4.96,0.42,8.39,19.37,18.63,0.23
ST001,2026-04-27 00:00:00,7.22,7.28,0.12,8.15,15.97,20.05,0.16
ST002,2026-04-27 00:00:00,7.49,5.94,0.31,7.51,16.75,19.06,0.2
ST003,2026-04-27 00:00:00,7.84,4.25,0.5,8.0,15.55,18.39,0.24
ST001,2026-04-27 04:00:00,6.91,6.52,0.16,8.0,17.37,20.32,0.18
ST002,2026-04-27 04:00:00,7.41,5.96,0.27,8.01,20.61,20.0,0.18
ST003,2026-04-27 04:00:00,7.64,4.67,0.41,7.49,19.0,19.92,0.19
ST001,2026-04-27 08:00:00,7.21,6.96,0.13,7.09,19.64,20.39,0.23
ST002,2026-04-27 08:00:00,7.45,5.5,0.23,6.96,22.5,21.37,0.17
ST003,2026-04-27 08:00:00,7.86,4.11,0.51,6.78,19.86,19.78,0.21
ST001,2026-04-27 12:00:00,7.48,6.89,0.11,7.01,24.48,18.55,0.24
ST002,2026-04-27 12:00:00,7.57,6.07,0.28,7.65,22.38,19.49,0.21
ST003,2026-04-27 12:00:00,7.91,4.13,0.44,7.81,20.45,20.69,0.19
ST001,2026-04-27 16:00:00,7.28,6.91,0.05,6.77,20.65,22.93,0.19
ST002,2026-04-27 16:00:00,7.72,6.33,0.26,7.69,20.07,22.18,0.24
ST003,2026-04-27 16:00:00,7.83,4.55,0.44,7.05,22.11,18.91,0.25
ST001,2026-04-27 20:00:00,7.42,7.54,0.16,8.55,17.82,18.78,0.21
ST002,2026-04-27 20:00:00,7.69,6.53,0.19,7.17,18.41,19.89,0.24
ST003,2026-04-27 20:00:00,7.76,5.1,0.51,9.4,18.01,20.74,0.22
ST001,2026-04-28 00:00:00,7.12,7.23,0.14,5.91,17.82,20.19,0.2
ST002,2026-04-28 00:00:00,7.6,6.12,0.23,9.19,16.0,19.17,0.2
ST003,2026-04-28 00:00:00,7.78,4.79,0.4,7.36,16.27,19.88,0.21
ST001,2026-04-28 04:00:00,7.04,6.39,0.16,7.93,20.16,20.67,0.23
ST002,2026-04-28 04:00:00,7.35,6.02,0.27,7.68,21.23,21.33,0.22
ST003,2026-04-28 04:00:00,7.47,3.99,0.46,7.86,17.76,20.21,0.24
ST001,2026-04-28 08:00:00,7.17,6.27,0.12,7.17,21.03,19.38,0.2
ST002,2026-04-28 08:00:00,7.27,5.47,0.23,5.63,23.96,21.63,0.2
ST003,2026-04-28 08:00:00,7.7,3.77,0.52,9.13,21.69,21.54,0.21
ST001,2026-04-28 12:00:00,7.17,6.67,0.13,7.42,22.74,19.86,0.2
ST002,2026-04-28 12:00:00,7.61,5.54,0.22,6.82,24.17,16.84,0.23
ST003,2026-04-28 12:00:00,8.04,4.19,0.35,7.49,22.92,18.48,0.19
ST001,2026-04-28 16:00:00,7.55,7.38,0.08,6.59,21.11,19.68,0.21
ST002,2026-04-28 16:00:00,7.65,6.35,0.33,8.34,21.44,19.73,0.2
ST003,2026-04-28 16:00:00,8.12,4.62,0.45,7.79,20.9,17.94,0.21
ST001,2026-04-28 20:00:00,7.29,7.6,0.1,8.64,17.45,22.57,0.17
ST002,2026-04-28 20:00:00,7.64,6.6,0.22,8.06,20.04,16.67,0.21
ST003,2026-04-28 20:00:00,7.65,4.81,0.51,7.33,17.09,19.7,0.25
ST001,2026-04-29 00:00:00,6.92,7.04,0.18,9.1,16.88,18.14,0.25
ST002,2026-04-29 00:00:00,7.56,6.39,0.22,7.71,16.81,20.5,0.23
ST003,2026-04-29 00:00:00,7.79,4.53,0.5,7.98,17.82,22.2,0.89
ST001,2026-04-29 04:00:00,7.0,6.64,0.06,8.0,21.51,17.24,0.2
ST002,2026-04-29 04:00:00,7.36,5.77,0.25,6.81,18.78,18.86,0.16
ST003,2026-04-29 04:00:00,7.72,4.44,0.45,7.92,19.79,20.34,0.22
ST001,2026-04-29 08:00:00,7.07,6.76,0.13,7.89,19.98,20.43,0.19
ST002,2026-04-29 08:00:00,7.34,5.34,0.21,9.29,23.1,22.88,0.18
ST003,2026-04-29 08:00:00,7.71,3.74,0.42,7.08,22.99,19.41,0.23
ST001,2026-04-29 12:00:00,7.36,7.21,0.06,8.66,24.38,18.54,0.22
ST002,2026-04-29 12:00:00,7.63,5.7,0.22,7.23,25.46,20.0,0.22
ST003,2026-04-29 12:00:00,7.82,4.09,0.49,6.77,22.5,20.05,0.21
ST001,2026-04-29 16:00:00,7.38,7.33,0.15,8.28,20.32,19.57,0.23
ST002,2026-04-29 16:00:00,7.79,5.98,0.26,6.32,21.56,22.85,0.19
ST003,2026-04-29 16:00:00,7.92,4.9,0.39,7.29,22.22,19.05,0.2
ST001,2026-04-29 20:00:00,7.37,7.58,0.13,7.5,18.94,19.81,0.21
ST002,2026-04-29 20:00:00,7.55,6.46,0.21,7.72,17.53,18.33,0.21
ST003,2026-04-29 20:00:00,7.92,5.16,0.43,8.05,19.16,20.67,0.19
ST001,2026-04-30 00:00:00,7.11,7.32,0.12,6.24,17.19,23.32,0.2
ST002,2026-04-30 00:00:00,7.33,6.32,0.26,8.61,15.49,21.1,0.22
ST003,2026-04-30 00:00:00,7.69,4.82,0.49,8.38,15.63,21.23,0.2
ST001,2026-04-30 04:00:00,7.01,6.76,0.11,8.61,18.4,18.32,0.2
ST002,2026-04-30 04:00:00,7.32,6.0,0.27,7.13,21.48,20.4,0.23
ST003,2026-04-30 04:00:00,7.58,4.36,0.48,8.63,19.77,21.31,0.2
ST001,2026-04-30 08:00:00,7.04,6.57,0.16,7.59,22.78,22.18,0.19
ST002,2026-04-30 08:00:00,7.32,5.47,0.26,7.37,23.12,20.64,0.21
ST003,2026-04-30 08:00:00,7.56,3.74,0.46,6.2,22.72,19.76,0.27
ST001,2026-04-30 12:00:00,7.53,6.71,0.12,8.47,25.04,17.54,0.17
ST002,2026-04-30 12:00:00,7.54,5.87,0.27,8.53,21.56,16.53,0.22
ST003,2026-04-30 12:00:00,7.82,3.85,0.46,8.33,22.85,19.31,0.2
ST001,2026-04-30 16:00:00,7.36,6.98,0.09,8.13,21.89,20.25,0.19
ST002,2026-04-30 16:00:00,7.68,5.81,0.26,8.79,19.73,19.12,0.21
ST003,2026-04-30 16:00:00,8.13,4.66,0.42,6.32,21.62,23.06,0.21
ST001,2026-04-30 20:00:00,7.3,7.56,0.12,7.16,19.49,20.34,0.21
ST002,2026-04-30 20:00:00,7.5,6.76,0.28,7.35,19.7,19.25,0.19
ST003,2026-04-30 20:00:00,7.82,4.65,0.47,6.42,17.03,16.89,0.2
